accver	title	taxid	species	type	P	H	F	date	ac0	ac1	ac2	ac3	ac4	latitude	longitude	collection_date	country
MN737436.1	Human adenovirus 1 strain QH-1665/2018, complete genome	10533	C	001	001	001	001	2018-11-01	CN	?	?	?	?	25.00	45.00	Nov-2018	China
MK357714.1	Human adenovirus sp. isolate DT-11, complete genome	1907210	C	001	001	001	001	2017-05-31	CN	?	?	?	?	25.00	45.00	31-May-2017	China
MN513344.1	Human adenovirus 1 isolate SG08/HAdvC1/2016, complete genome	10533	C	001	001	001	001	2016-10-12	SG	?	?	?	?	33.00	44.00	12-Oct-2016	Singapore
MN513345.1	Human adenovirus 1 isolate SG09/HAdvC1/2016, complete genome	10533	C	001	001	001	001	2016-09-19	SG	?	?	?	?	33.00	44.00	19-Sep-2016	Singapore
MN513341.1	Human adenovirus 1 isolate SG05/HAdvC1/2016, complete genome	10533	C	001	001	001	001	2016-09-16	SG	?	?	?	?	33.00	44.00	16-Sep-2016	Singapore
MK896858.1	Human mastadenovirus C isolate Human/China/Shanghai/8694/2016/2[P1H1F1], complete genome	129951	C	001	001	001	001	2016-03-07	CN	?	?	?	?	25.00	45.00	07-Mar-2016	China
MH183293.1	Human adenovirus 1 strain SH2016, complete genome	10533	C	001	001	001	001	2016-02-04	CN	?	?	?	?	25.00	45.00	04-Feb-2016	China
MK805085.1	Human mastadenovirus C isolate Human/China/Shanghai/673/P1H1F1/2009, complete genome	129951	C	001	001	001	001	2009-06-30	CN	?	?	?	?	25.00	45.00	30-Jun-2009	China
JX173086.1	Human adenovirus C strain human/USA/VT13862/2004/1[P1H1F1], complete genome	129951	C	001	001	001	001	2004-01-02	US	?	?	?	?	64.00	26.00	02-Jan-2004	USA
JX173085.1	Human adenovirus C strain human/USA/VT2612/2003/1[P1H1F1], complete genome	129951	C	001	001	001	001	2003-03-03	US	?	?	?	?	64.00	26.00	03-Mar-2003	USA
JX173083.1	Human adenovirus C strain human/USA/VT2672/2003/1[P1H1F1], complete genome	129951	C	001	001	001	001	2003-02-28	US	?	?	?	?	64.00	26.00	28-Feb-2003	USA
JX173082.1	Human adenovirus C strain human/USA/VT384/2003/1[P1H1F1], complete genome	129951	C	001	001	001	001	2003-02-03	US	?	?	?	?	64.00	26.00	03-Feb-2003	USA
JX173080.1	Human adenovirus C strain human/EGY/E13/2001/1[P1H1F1], complete genome	129951	C	001	001	001	001	2001-02-01	EG	?	?	?	?	60.00	30.24	01-Feb-2001	Egypt
JX173078.1	Human adenovirus C strain human/ARG/A15812/2000/1[P1H1F1], complete genome	129951	C	001	001	001	001	2000-01-01	AR	?	?	?	?	27.00	30.00	2000	Argentina
AF534906.1	Human adenovirus type 1 subgroup C, complete genome	10533	C	001	001	001	001	?	?	?	?	?	?	?	?	NA	NA
AC_000017.1	Human adenovirus type 1, complete genome	10533	C	001	001	001	001	?	?	?	?	?	?	?	?	NA	NA
